transaction_id,datetime,customer_id,product_id,category,quantity,store
T001,2026-01-03 09:15,C001,P001,Frutas,3,Norte
T001,2026-01-03 09:15,C001,P004,Lacteos,2,Norte
T002,2026-01-03 18:22,C002,P002,Verduras,5,Centro
T002,2026-01-03 18:22,C002,P006,Panaderia,1,Centro
T003,2026-01-04 11:05,C003,P003,Aseo,2,Sur
T004,2026-01-05 16:40,C004,P001,Frutas,4,Norte
T004,2026-01-05 16:40,C004,P007,Bebidas,6,Norte
T005,2026-01-06 20:10,C001,P005,Granos,3,Centro
T006,2026-01-07 08:30,C005,P004,Lacteos,2,Sur
T006,2026-01-07 08:30,C005,P006,Panaderia,2,Sur
T007,2026-01-08 12:00,C006,P008,Carnes,4,Norte
T008,2026-01-09 19:18,C002,P001,Frutas,2,Centro
T008,2026-01-09 19:18,C002,P004,Lacteos,1,Centro
T009,2026-01-10 10:42,C007,P009,Congelados,3,Sur
T010,2026-01-11 15:33,C008,P002,Verduras,6,Norte
T010,2026-01-11 15:33,C008,P005,Granos,2,Norte
T011,2026-01-12 17:20,C003,P003,Aseo,1,Centro
T012,2026-01-13 09:55,C009,P007,Bebidas,8,Sur
T013,2026-01-14 13:17,C010,P010,Mascotas,2,Norte
T014,2026-01-15 18:46,C001,P001,Frutas,5,Centro
T014,2026-01-15 18:46,C001,P006,Panaderia,3,Centro
T015,2026-01-16 07:50,C004,P008,Carnes,3,Norte
T016,2026-01-17 21:14,C005,P004,Lacteos,4,Sur
T016,2026-01-17 21:14,C005,P007,Bebidas,2,Sur
T017,2026-01-18 11:25,C006,P009,Congelados,5,Centro
T018,2026-01-19 16:37,C007,P002,Verduras,4,Norte
T018,2026-01-19 16:37,C007,P005,Granos,4,Norte
T019,2026-01-20 09:01,C008,P003,Aseo,3,Sur
T020,2026-01-21 14:52,C009,P001,Frutas,6,Centro
T020,2026-01-21 14:52,C009,P004,Lacteos,3,Centro
T021,2026-01-22 19:30,C010,P006,Panaderia,4,Norte
T022,2026-01-23 10:12,C001,P008,Carnes,2,Sur
T023,2026-01-24 12:49,C002,P007,Bebidas,5,Centro
T024,2026-01-25 17:05,C003,P005,Granos,7,Norte
T025,2026-01-26 08:22,C004,P009,Congelados,2,Sur
T026,2026-01-27 20:08,C005,P001,Frutas,4,Centro
T026,2026-01-27 20:08,C005,P006,Panaderia,2,Centro
T027,2026-01-28 09:40,C006,P004,Lacteos,5,Norte
T028,2026-01-29 15:12,C007,P010,Mascotas,3,Sur
T029,2026-01-30 18:02,C008,P008,Carnes,6,Centro
T030,2026-01-31 11:44,C009,P002,Verduras,3,Norte
