transaction_id,datetime,customer_id,product_id,category,quantity,store
T101,2026-02-01 08:10,C011,P011,Bebidas,2,Norte
T101,2026-02-01 08:10,C011,P001,Frutas,4,Norte
T102,2026-02-01 10:35,C012,P012,Snacks,3,Centro
T102,2026-02-01 10:35,C012,P004,Lacteos,2,Centro
T103,2026-02-02 12:15,C013,P008,Carnes,5,Sur
T104,2026-02-02 17:22,C014,P002,Verduras,6,Norte
T104,2026-02-02 17:22,C014,P005,Granos,2,Norte
T105,2026-02-03 09:48,C015,P007,Bebidas,4,Centro
T106,2026-02-03 14:20,C016,P013,Dulces,3,Sur
T106,2026-02-03 14:20,C016,P006,Panaderia,2,Sur
T107,2026-02-04 11:30,C017,P001,Frutas,5,Norte
T107,2026-02-04 11:30,C017,P004,Lacteos,3,Norte
T108,2026-02-05 18:40,C018,P009,Congelados,4,Centro
T109,2026-02-05 20:05,C019,P003,Aseo,2,Sur
T110,2026-02-06 07:55,C020,P008,Carnes,6,Norte
T111,2026-02-06 13:25,C011,P014,Hogar,2,Centro
T112,2026-02-07 16:15,C012,P002,Verduras,4,Sur
T112,2026-02-07 16:15,C012,P006,Panaderia,3,Sur
T113,2026-02-08 09:05,C013,P010,Mascotas,2,Norte
T114,2026-02-08 15:55,C014,P007,Bebidas,5,Centro
T115,2026-02-09 19:40,C015,P005,Granos,4,Sur
T116,2026-02-10 08:25,C016,P001,Frutas,3,Norte
T116,2026-02-10 08:25,C016,P004,Lacteos,2,Norte
T117,2026-02-10 18:10,C017,P012,Snacks,5,Centro
T118,2026-02-11 10:50,C018,P008,Carnes,3,Sur
T119,2026-02-11 14:35,C019,P013,Dulces,6,Norte
T120,2026-02-12 17:20,C020,P003,Aseo,4,Centro
T121,2026-02-13 09:30,C011,P009,Congelados,2,Sur
T122,2026-02-13 13:15,C012,P001,Frutas,7,Norte
T122,2026-02-13 13:15,C012,P007,Bebidas,3,Norte
T123,2026-02-14 18:05,C013,P006,Panaderia,5,Centro
T124,2026-02-15 11:45,C014,P014,Hogar,2,Sur
T125,2026-02-15 20:10,C015,P008,Carnes,4,Norte
T126,2026-02-16 08:55,C016,P005,Granos,3,Centro
T127,2026-02-16 15:40,C017,P002,Verduras,5,Sur
T128,2026-02-17 12:20,C018,P010,Mascotas,2,Norte
T129,2026-02-17 19:35,C019,P001,Frutas,4,Centro
T129,2026-02-17 19:35,C019,P004,Lacteos,2,Centro
T130,2026-02-18 09:50,C020,P007,Bebidas,6,Sur
